no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt
170,255840A001,,2012-06-19,19.8,24.6,15.2,74,62,2.2,15.6,0,,,58,21.1,22.7,
171,255840A001,,2012-06-20,20.9,27.4,15.9,71.7,147.9,1.2,9,0,,,519,22.6,23.1,
172,255840A001,,2012-06-21,20.3,28.8,16,80.2,154.6,1.6,15.1,0,,,441,22.3,23.8,
173,255840A001,,2012-06-22,20.9,26.1,17.3,79,220.9,1.1,8.8,0,,,68,21.5,22.6,
174,255840A001,,2012-06-23,22.4,30.8,16.4,73.2,192,1.2,7.9,0,,,195,23.6,23.6,
175,255840A001,,2012-06-24,20.5,26.6,15.4,79.4,159,1.9,11.6,0,,,275,21.8,23.4,
176,255840A001,,2012-06-25,18.2,23.6,14.5,78.4,89.8,1.9,18.5,0,,,658,19,21.9,
177,255840A001,,2012-06-26,16.6,18.6,15.2,86,69.7,1.8,10.2,0.5,,,1141,16.5,19.6,
178,255840A001,,2012-06-27,16.6,19.6,15,81.9,89.2,1.8,9.5,0,,,581,17.2,19.2,
179,255840A001,,2012-06-28,19.9,28.5,14.8,71.5,164.4,1.2,9.3,0,,,0,21.8,22,
180,255840A001,,2012-06-29,22.1,30.7,15.1,75.1,191.5,1,9.4,1.5,,,442,23.7,23.2,
181,255840A001,,2012-06-30,21.7,24.7,18.8,89.7,200,2.2,18,95.5,,,1077,20.8,21.7,
182,255840A001,,2012-07-01,23.1,27.7,20.1,76.9,205.9,2.2,15.1,0,,,0,23.8,22.6,
183,255840A001,,2012-07-02,22.4,27.4,17.6,73.8,207,1.9,12,0,,,0,23.3,22.2,
184,255840A001,,2012-07-03,22.5,28.2,16.7,77.3,200.8,1.7,15.2,0,,,341,23.4,22.6,
185,255840A001,,2012-07-04,23.6,27.1,21.3,75.3,199.7,2.4,17.5,0.5,,,175,23.5,22.3,
186,255840A001,,2012-07-05,22.9,26.2,20.2,80.2,206.5,1.6,9.7,1,,,198,22.7,21.8,
187,255840A001,,2012-07-06,19.9,20.7,18.9,90.9,105.6,1.1,9.2,56,,,1440,18.8,20.4,
188,255840A001,,2012-07-07,21.2,26.3,17.6,78.9,81.5,1.7,8.9,0,,,662,22,21.9,
189,255840A001,,2012-07-08,22.8,31.3,15.7,77.9,195.9,1.1,7.1,0,,,628,24,23.1,
190,255840A001,,2012-07-09,24.2,30.4,18.9,83.2,204.3,1,8.7,0,,,691,24.9,24,
191,255840A001,,2012-07-10,21.7,27,18.9,83,179.8,1.2,7.9,0,,,674,22.5,23.1,
192,255840A001,,2012-07-11,22.1,25.8,18.2,90,199.1,1.5,10.4,20.5,,,1440,21.4,21.7,
193,255840A001,,2012-07-12,22.4,26,20.2,83.1,211.8,2,13.6,1,,,350,23.1,22.5,
194,255840A001,,2012-07-13,21.1,25.6,19,92,191.3,0.9,7.9,25,,,1440,21.3,22.4,
195,255840A001,,2012-07-14,18.9,20.4,17.3,91.3,212.9,1.3,9.7,4,,,1440,18.5,20.6,
196,255840A001,,2012-07-15,17.6,19.1,16.8,95.4,177.5,0.9,9.7,56.5,,,1440,16.8,18.7,
197,255840A001,,2012-07-16,19.3,22.8,16.5,91.4,181,0.6,3.8,2.5,,,1440,19.7,20,
198,255840A001,,2012-07-17,21.8,26.6,18.4,89.3,204.6,0.8,7.7,0,,,809,22.5,22,
199,255840A001,,2012-07-18,22,26.2,19.3,91,205.5,0.8,7.1,1,,,585,22.8,22.8,
200,255840A001,,2012-07-19,22,23.5,20.6,94.2,198.2,2.3,19.1,84,,,1432,20.8,21.6,
201,255840A001,,2012-07-20,23.1,27.4,20.4,86.6,201.9,1.9,9.9,2.5,,,786,23.1,22.3,
202,255840A001,,2012-07-21,23,30.1,19,84.2,203.1,1.2,9.6,0,,,314,24.5,23.8,
203,255840A001,,2012-07-22,20.3,22.3,18.2,93.2,99.8,0.6,3.4,9,,,810,20.1,21.9,
204,255840A001,,2012-07-23,24.8,27,21.5,86.6,198.2,2.4,16,5.5,,,1141,24,22.9,
205,255840A001,,2012-07-24,25.9,28.8,23.2,80.3,207.7,2.1,12.2,0,,,198,26,24,
206,255840A001,,2012-07-25,24.6,29.5,19.6,82.3,197.4,1.5,10.4,0,,,291,25.9,24.5,
207,255840A001,,2012-07-26,24.8,30.1,19.3,80.8,200.1,1.5,9.7,0,,,776,26.5,24.9,
208,255840A001,,2012-07-27,25.5,29.7,22.4,76.2,205.3,2.2,14.4,0,,,787,25.7,24.2,
209,255840A001,,2012-07-28,24.3,27.1,20.3,84,192,1.5,8.3,0,,,705,24.4,23.7,
210,255840A001,,2012-07-29,26.1,29.6,23,80.6,198.1,2.3,13.2,0,,,519,26.3,24.3,
211,255840A001,,2012-07-30,25.6,27.5,23.1,79,201.7,2.9,15,7.5,,,105,25.5,24.1,
212,255840A001,,2012-07-31,26.2,30.4,22.2,80.6,200.1,1.6,9.9,0,,,0,26.8,24.9,
213,255840A001,,2012-08-01,24.7,30.9,20.9,86.5,97.9,1.1,10.6,0,,,422,26,25.1,
214,255840A001,,2012-08-02,23.2,25,21.5,90,132.1,1,6.6,0,,,0,23,23.7,
215,255840A001,,2012-08-03,24.8,29.8,21,86.4,110,1.2,10.2,0,,,338,26.4,24.8,
216,255840A001,,2012-08-04,25.6,33.2,21,83,179.8,0.9,8.6,0,,,402,27.4,25.5,
217,255840A001,,2012-08-05,26,34.6,20,80.5,209,0.8,8.9,0,,,513,27.8,25.8,
218,255840A001,,2012-08-06,23.9,29.7,20.2,86.8,120.1,1.3,12.7,0,,,441,24.9,24.9,
219,255840A001,,2012-08-07,23.1,28.6,17.5,81.1,163.9,1.5,11.6,0,,,550,24.6,24.5,
220,255840A001,,2012-08-08,22.5,31.6,14.8,82.3,220.7,0.9,11.4,0,,,707,24.7,23.9,
221,255840A001,,2012-08-09,24.7,32.1,18.9,80,215.9,1.1,7.8,0,,,545,25.3,24.3,
222,255840A001,,2012-08-10,23.8,27.8,20.3,86.7,212.9,1,6.9,0,,,530,24,24,
223,255840A001,,2012-08-11,24,30.4,19.3,83,198.8,1,9,0,,,527,24.7,23.9,
224,255840A001,,2012-08-12,22.8,27.9,20.3,92,195.7,0.8,7.7,15,,,1138,22.9,23.3,
225,255840A001,,2012-08-13,20.9,25.3,16.4,92.1,175,1.1,9.2,1,,,753,20.9,22.5,
226,255840A001,,2012-08-14,21,28.3,13,82,188.5,0.9,8.4,1,,,423,21.9,21.8,
227,255840A001,,2012-08-15,22.6,24.4,20.6,93,194,2.1,19.7,91,,,1415,21.1,21.8,
