no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt
138,548912A001,,2011-05-18,19.9,23.8,16,67.7,193,2.5,,9,,1.2,11,,,
139,548912A001,,2011-05-19,20.3,23.8,16.4,72.3,185.3,2.5,,0,,0.1,10,,,
140,548912A001,,2011-05-20,20.7,25.4,17.3,89.1,179.4,1.6,,0,,0.1,10,,,
141,548912A001,,2011-05-21,21.6,27.2,18,83.5,206.4,0.9,,0,,0.1,10,,,
142,548912A001,,2011-05-22,17.7,22.7,14.9,82.1,101.4,1.2,,1,,0.1,10,,,
143,548912A001,,2011-05-23,14.4,15.9,13.4,83.5,83.5,2.2,,15.5,,0,10,,,
144,548912A001,,2011-05-24,18.3,26.3,10.6,59.2,89.7,1.9,,0,,0.1,0,,,
145,548912A001,,2011-05-25,18,23.1,9.8,68.5,99.7,1.9,,0,,0,10,,,
146,548912A001,,2011-05-26,15.8,17.8,14.9,85.4,86.9,3.2,,7,,0,10,,,
147,548912A001,,2011-05-27,17.7,21.6,15.2,81.9,99.1,1,,0,,0,10,,,
148,548912A001,,2011-05-28,18.6,24.2,13.9,81.8,116.9,0.9,,0,,0.1,0,,,
149,548912A001,,2011-05-29,19.9,28.1,13,68.8,162.3,1.2,,0,,0.1,10,,,
150,548912A001,,2011-05-30,18.5,23.3,13.4,81.4,189.7,1.4,,0,,0.1,10,,,
151,548912A001,,2011-05-31,16.4,17.9,15.7,86.5,115.3,1.5,,0,,0,10,,,
152,548912A001,,2011-06-01,19.5,25.3,15.6,80.6,162.2,1.3,,0,,0.1,0,,,
153,548912A001,,2011-06-02,20.1,25.6,16.5,81.9,194.3,1.1,,0,,0.1,0,,,
154,548912A001,,2011-06-03,20.1,24,16.6,77.7,182.8,1.5,,0,,0.1,0,,,
155,548912A001,,2011-06-04,20.5,25.7,16.5,78.7,219.6,1.4,,0,,0.1,0,,,
156,548912A001,,2011-06-05,21.6,28.6,16.2,77.9,219.7,0.9,,0,,0.1,10,,,
157,548912A001,,2011-06-06,20.8,27.8,15.7,78.7,212.1,0.8,,0,,0.1,10,,,
158,548912A001,,2011-06-07,21.6,27.8,15.6,74.1,211.8,0.9,,0,,0.1,10,,,
159,548912A001,,2011-06-08,21.8,29.2,15.5,61.9,201.8,1,,0,,0.1,10,,,
160,548912A001,,2011-06-09,20.6,25.2,17.2,82.5,218.7,1.1,,0,,0.1,10,,,
161,548912A001,,2011-06-10,20.9,24.6,18.9,90.3,103.5,1,,7,,0,10,,,
162,548912A001,,2011-06-11,21.1,27.4,15.9,79.6,186.3,1.2,,10.5,,0.1,10,,,
163,548912A001,,2011-06-12,20.6,27,17.2,82.6,178,0.9,,1.5,,0.1,10,,,
164,548912A001,,2011-06-13,21.3,26.9,16.2,77.7,266.4,1.2,,0,,0.1,10,,,
165,548912A001,,2011-06-14,19.7,24.4,16.1,86.6,177.8,0.7,,0,,0,10,,,
166,548912A001,,2011-06-15,20.2,23.4,17.1,81.2,100.7,1.5,,0,,0,0,,,
167,548912A001,,2011-06-16,22.1,26.3,17.3,72,99.9,2.1,,0,,0.1,10,,,
168,548912A001,,2011-06-17,20.8,26.7,16.2,79.2,195.1,1.1,,0,,0.1,10,,,
169,548912A001,,2011-06-18,20.9,25.1,17.5,82.6,152.2,0.8,,0,,0,10,,,
170,548912A001,,2011-06-19,21.2,26,16.9,76.5,111.4,1.3,,0,,0.1,10,,,
171,548912A001,,2011-06-20,22.4,28.9,17.3,75.5,189.5,1,,0,,0.1,10,,,
172,548912A001,,2011-06-21,23.1,29.9,17,73.7,201.5,1.1,,0,,0.1,10,,,
173,548912A001,,2011-06-22,23.6,28.1,21.2,89.5,193.1,1.8,,33.5,,0.1,10,,,
174,548912A001,,2011-06-23,25,28.1,23.3,87.4,217,2.2,,0.5,,0,10,,,
175,548912A001,,2011-06-24,25.1,27.7,23.7,88.6,211.8,2.2,,0,,0,10,,,
