no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt
286,370853A001,,2010-10-13,5,15,16,8,6,7,,9,,1.2,11,,14,
293,370853A001,,2010-10-20,15.5,22.3,11.6,82,171.3,0.3,,0,,27.5,10,,18,
294,370853A001,,2010-10-21,14.9,23.1,9.2,80.4,85.9,0.5,,0,,39.8,10,,17.1,
295,370853A001,,2010-10-22,13.6,22,6.6,75,99.7,0.7,,0,,39.3,10,,17.2,
296,370853A001,,2010-10-23,12.1,21.5,4.3,83.1,94.1,0.4,,0,,37.8,10,,16.1,
297,370853A001,,2010-10-24,15.2,21,12.5,89.9,189,0.3,,1,,38.9,10,,16.9,
298,370853A001,,2010-10-25,11.8,17.6,5.9,50.5,223.2,1.7,,0,,34.5,0,,16.5,
299,370853A001,,2010-10-26,3.6,10.1,-3.8,44.7,229.6,1.3,,0,,39.9,0,,13.5,
300,370853A001,,2010-10-27,4.1,14.4,-5.4,69.7,86.4,0.6,,0,,39.2,10,,11.7,
301,370853A001,,2010-10-28,4.7,14.1,-1.7,72.1,224.1,0.6,,0,,37.5,10,,12.1,
302,370853A001,,2010-10-29,5.9,18.4,-3.9,75,97,0.7,,0,,38.9,10,,11.6,
303,370853A001,,2010-10-30,7.9,18.9,0,76,95.2,0.5,,0,,39.3,10,,12,
304,370853A001,,2010-10-31,8.3,19.1,0.6,77,219.4,0.3,,0,,39.6,10,,12.2,
305,370853A001,,2010-11-01,8.5,17.9,0.4,68.5,234.2,0.7,,0,,39.6,10,,12.3,
306,370853A001,,2010-11-02,7.7,13.3,-2.6,49.1,241.8,1.5,,0,,38.4,10,,11.9,
307,370853A001,,2010-11-03,3.5,14.3,-5.3,71.5,183.5,0.7,,0,,40,10,,10.5,
308,370853A001,,2010-11-04,5.3,17.4,-3.1,75.7,181.5,0.5,,0,,37.4,10,,10.7,
309,370853A001,,2010-11-05,6.8,18.6,-0.4,74.9,186.1,0.4,,0,,39.8,10,,10.6,
310,370853A001,,2010-11-06,7.1,18.1,-1.2,79.5,138.2,0.4,,0,,37.9,10,,10.5,
311,370853A001,,2010-11-07,7.6,18.6,1,79,134.1,0.4,,0,,38.1,10,,10.9,
312,370853A001,,2010-11-08,8.4,12,3.5,63.9,239.8,1.6,,1.5,,38.3,10,,10.5,
313,370853A001,,2010-11-09,5.9,9.6,3.3,51.3,247.8,1.9,,0,,39.6,10,,9.2,
314,370853A001,,2010-11-10,4.1,12.6,-3,68.5,181.9,0.6,,0,,38.9,10,,8.8,
315,370853A001,,2010-11-11,7,16.9,-2.7,71.4,175.5,0.8,,4.5,,39.7,10,,8.7,
316,370853A001,,2010-11-12,10.2,15.9,-0.6,48.8,199.7,1.3,,0,,38.6,10,,9.9,
317,370853A001,,2010-11-13,4.8,18.2,-3.6,73.9,133,0.3,,0,,39.7,10,,8.7,
318,370853A001,,2010-11-14,7.5,13.4,1.6,52.8,231,1,,0,,39.8,10,,9.3,
319,370853A001,,2010-11-15,2.2,8.6,-5.3,46,246.8,1.1,,0,,39.5,0,,8.2,
320,370853A001,,2010-11-16,2.3,10.6,-7.7,64.6,167.6,0.7,,0,,39.4,0,,6.8,
321,370853A001,,2010-11-17,2.9,12.6,-4.2,74.6,215.5,0.3,,0,,39.6,10,,6.9,
322,370853A001,,2010-11-18,1.8,13.2,-5,75.9,202.8,0.3,,0,,39.7,10,,6.7,
323,370853A001,,2010-11-19,0.9,11.9,-6.1,78.5,156.4,0.3,,0,,39.7,10,,6,
324,370853A001,,2010-11-20,3.2,17.2,-5.7,74.8,203.3,0.2,,0,,39.1,10,,5.8,
325,370853A001,,2010-11-21,5.7,18.8,-3.1,79,127.1,0.3,,0,,39.5,10,,6.6,
326,370853A001,,2010-11-22,6.5,12.6,-4.1,64.7,239.4,1.1,,1,,38.1,10,,7.8,
327,370853A001,,2010-11-23,3.7,15.1,-6.7,65,90.9,0.6,,0,,38.5,10,,5.8,
328,370853A001,,2010-11-24,10.4,15.1,-2.7,58.5,187.3,0.6,,0,,36.6,0,,7.6,
329,370853A001,,2010-11-25,3.8,10.1,-2.6,65.5,239.3,0.9,,0,,39.5,10,,7.1,
330,370853A001,,2010-11-26,0.1,7.2,-5.9,61.6,222,0.8,,0,,38.5,0,,5.2,
331,370853A001,,2010-11-27,4.2,12,-7.8,61.2,238.4,1.5,,2,,39.8,10,,4.4,
332,370853A001,,2010-11-28,-0.6,5.1,-4.9,54.9,225.6,1,,0,,39.4,0,,4.2,
333,370853A001,,2010-11-29,2.8,13.3,-4.6,78.7,179.6,0.5,,2,,39.4,10,,4.3,
334,370853A001,,2010-11-30,5.1,15.2,-2.1,83.5,196.4,0.4,,0.5,,36.6,10,,5.2,
335,370853A001,,2010-12-01,4,14.8,-1.1,88,119.5,0.3,,0,,39.4,10,,6,
336,370853A001,,2010-12-02,3.8,12.1,-1.3,89.2,185.5,0.2,,0,,24,10,,5.7,
337,370853A001,,2010-12-03,3.8,8.5,-0.8,51.3,256.3,2,,1.5,,38.9,10,,5.6,
338,370853A001,,2010-12-04,1.8,11.6,-6.9,72.2,208.3,0.6,,0,,39.8,10,,4.3,
339,370853A001,,2010-12-05,3.3,16.5,-5.5,81.9,214.4,0.4,,0,,39.6,10,,4.4,
340,370853A001,,2010-12-06,4.9,11,-2.1,73.1,232.8,1,,0,,37.5,10,,5.6,
341,370853A001,,2010-12-07,-1,4.5,-5.9,68.4,203.6,0.8,,0,,39.1,7,,4,
342,370853A001,,2010-12-08,0.7,5.2,-9.4,79.6,202.6,0.9,,1,,35.8,10,,2.5,
343,370853A001,,2010-12-09,-1.4,4.2,-7.3,69.2,248.5,1,,1.5,,38.3,10,,2.8,
344,370853A001,,2010-12-10,5.8,11.2,-9.4,57.5,161.4,1.2,,0.5,,38.7,10,,2.4,
345,370853A001,,2010-12-11,2.9,10,-6.1,50.5,238.6,1.7,,0,,39.9,0,,3.7,
346,370853A001,,2010-12-12,-0.3,5.2,-12,51.3,86.3,0.3,,0,,35.7,0,,1.9,
347,370853A001,,2010-12-13,0.5,2,-1.5,93.5,142.2,0.1,,17.5,,6.5,10,,1.7,
348,370853A001,,2010-12-14,0,4.3,-5.5,71.4,255,1.4,,0,,39.5,10,,2.1,
349,370853A001,,2010-12-15,-5.7,-3.9,-10.4,48,240,1.9,,0,,38.8,0,,1.7,
350,370853A001,,2010-12-16,-3.8,-0.3,-12.8,51.1,172.3,1.1,,0,,38.6,0,,0.9,
351,370853A001,,2010-12-17,-1.8,2.3,-6.9,85.6,204.9,0.7,,1.5,,12.4,10,,0.8,
352,370853A001,,2010-12-18,-1.1,7.7,-11.3,84.8,215.9,0.2,,2,,39.6,10,,0.8,
353,370853A001,,2010-12-19,3,13.1,-6.3,78,202.9,0.6,,0,,39.5,10,,0.7,
354,370853A001,,2010-12-20,0.6,12.2,-5,88,144.2,0.3,,0,,39.3,10,,0.7,
355,370853A001,,2010-12-21,0.4,12.2,-6.1,80.1,126.3,0.3,,0,,40,10,,0.9,
356,370853A001,,2010-12-22,-0.6,9.8,-5.2,85.3,193.2,0.3,,0,,39.7,10,,1.3,
357,370853A001,,2010-12-23,-0.3,6.7,-5.4,68.3,254.1,0.9,,0,,38.9,10,,1.4,
358,370853A001,,2010-12-24,-5.7,-3.9,-9.8,42.9,234.9,1.9,,0,,39.1,0,,1.2,
359,370853A001,,2010-12-25,-5.7,-3.8,-12.3,60,239.3,1.5,,0,,37.6,0,,0.5,
360,370853A001,,2010-12-26,-4.1,-1,-12.4,65.1,200,1.2,,0,,38.7,0,,0.3,
361,370853A001,,2010-12-27,-1.6,3.5,-10.9,76.4,197.3,0.6,,1,,36.7,10,,0.3,
362,370853A001,,2010-12-28,-0.7,3.9,-4.8,89.5,250.3,1,,7,,37,10,,0.3,
363,370853A001,,2010-12-29,-3,1.3,-7.7,78.1,211.1,0.8,,1,,39.5,10,,0.4,
364,370853A001,,2010-12-30,-1.9,0.6,-5.1,75.9,224.7,1.3,,0.5,,37,10,,0.4,
12,370853A001,,2011-01-12,-8,-1.1,-13.2,61.7,212.2,0.9,,0,,39.7,0,,-1.1,
13,370853A001,,2011-01-13,-9.1,1.4,-16.3,69.7,176.6,0.6,,0,,39.1,10,,-1.9,
14,370853A001,,2011-01-14,-5.8,3.5,-14.4,66,253.1,0.6,,0,,35.7,10,,-1.9,
15,370853A001,,2011-01-15,-7.7,-1.8,-14.4,52,252,2.3,,0,,39.3,0,,-1.4,
16,370853A001,,2011-01-16,-11.4,-4.9,-17.2,65.4,240.5,1,,0,,39.2,0,,-2.7,
17,370853A001,,2011-01-17,-10.2,-1.1,-18,66.5,203,0.6,,0,,39,0,,-2.9,
18,370853A001,,2011-01-18,-8.9,0,-15.5,75,217.2,0.6,,0,,38.5,9,,-2.8,
19,370853A001,,2011-01-19,-6.3,0.5,-12.3,68.2,215.5,0.8,,0,,40,10,,-2.1,
20,370853A001,,2011-01-20,-6.8,-0.8,-12.8,63.5,177.8,0.9,,0,,39.8,10,,-1.9,
21,370853A001,,2011-01-21,-8.4,0.2,-14.8,65.3,171.8,0.7,,0,,39.2,10,,-2.3,
22,370853A001,,2011-01-22,-6.4,3.1,-13.5,71.4,211.2,0.6,,0,,39.4,10,,-2.3,
23,370853A001,,2011-01-23,-4.7,2.5,-11.6,78.5,195.7,0.6,,0,,37.4,10,,-2,
24,370853A001,,2011-01-24,-5.4,-2.3,-11.3,72.9,245.3,1,,0.5,,34.4,10,,-1,
25,370853A001,,2011-01-25,-9,-1.4,-15.3,76.5,215.9,0.6,,0,,40,10,,-1.4,
26,370853A001,,2011-01-26,-9.6,-1.1,-17.1,70.1,210.6,0.8,,0,,39.3,10,,-2,
27,370853A001,,2011-01-27,-8.4,-1.1,-15.3,58.1,225.2,1,,0,,39.9,10,,-2.2,
28,370853A001,,2011-01-28,-6,-0.8,-11.3,48.6,194.3,0.8,,0,,39.9,10,,-1.9,
29,370853A001,,2011-01-29,-9.5,-2.1,-16,62.3,214.8,1.1,,0,,39.5,10,,-2.2,
30,370853A001,,2011-01-30,-9,-2.9,-17,58.6,228.8,1.2,,0,,38.6,10,,-2.6,
31,370853A001,,2011-01-31,-6.1,0.9,-16.1,60.4,234.2,1.1,,0,,38.7,10,,-2.3,
32,370853A001,,2011-02-01,-4.3,7.2,-14.1,70.7,157,0.4,,0,,39.3,10,,-2.1,
33,370853A001,,2011-02-02,-1.9,8.5,-9.4,69.9,168.3,0.5,,0,,39.1,10,,-1.1,
34,370853A001,,2011-02-03,-2.5,9.3,-10.8,70.3,205.4,0.4,,0,,39.7,10,,-0.9,
35,370853A001,,2011-02-04,-1.4,9.4,-9.1,70.2,221.1,0.5,,0,,40,10,,-0.7,
36,370853A001,,2011-02-05,-1.8,8.6,-8.7,75.6,141.8,0.4,,0,,38.3,10,,-0.6,
37,370853A001,,2011-02-06,-0.4,8.7,-7.5,79,204.2,0.4,,0,,39.4,10,,-0.5,
38,370853A001,,2011-02-07,0.7,8.5,-6.8,69.9,133.6,0.4,,0,,39.5,10,,-0.4,
39,370853A001,,2011-02-08,-0.2,3.7,-3.6,86.4,112.7,0.1,,0,,20.5,10,,-0.4,
40,370853A001,,2011-02-09,-1.5,5.6,-7.8,71.1,221.1,0.7,,0,,40,10,,-0.3,
41,370853A001,,2011-02-10,-3.6,2.5,-8,68.9,136.1,0.4,,0,,30.6,0,,-0.3,
42,370853A001,,2011-02-11,-3.8,5.1,-11.5,64.7,173.7,0.8,,0,,39.9,0,,-0.4,
43,370853A001,,2011-02-12,-4.1,0.9,-8.5,53.3,221.5,1.2,,0,,38.1,0,,-0.5,
44,370853A001,,2011-02-13,-6,3.2,-13.5,62,155.9,0.5,,0,,37.1,0,,-0.7,
45,370853A001,,2011-02-14,-3.9,3.2,-13.5,71.2,209.4,0.5,,0,,39.8,0,,-0.6,
46,370853A001,,2011-02-15,-3,6.2,-10.9,67.5,155.9,0.6,,0,,39.4,0,,-0.7,
47,370853A001,,2011-02-16,-1.5,9.7,-11.5,68.3,226.9,0.4,,0.5,,39.9,10,,-0.6,
48,370853A001,,2011-02-17,-0.1,1.6,-5.3,94.5,228,0.3,,2,,6.8,10,,-0.4,
49,370853A001,,2011-02-18,-1.6,8.3,-6.3,86.2,147.7,0.4,,2.5,,38.4,10,,-0.3,
